name,path,task,exp_id,seed,arm,wiring,retrieval,model,started,log_last,log_span_h,node_span_h,n_ratelimit,first_ratelimit_h,usable_h,usable_fraction,direction_defaulted,direction_validated,n_nodes,n_buggy,n_valid,buggy_fraction,n_coded,custom_arch_fraction,best_metric,maximize_used,n_top_solutions,n_ensembles,wrapper_completed,nan_in_ensembles,n_real_crashes,verdict,reasons,flags
20260825_022933_essay-kb-s46,/Users/william/nautilus/results/20260825_022933_essay-kb-s46,essay,learning-agency-lab-automated-essay-scoring-2,46,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-25 02:29:34,2026-08-25 14:15:29,11.77,9.54,0,-1.0,12.0,1.0,False,True,12,8,4,0.667,12,1.0,0.7987898744119162,True,0,2,True,False,0,ok,,
20260825_023025_essay-kbimp-s46,/Users/william/nautilus/results/20260825_023025_essay-kbimp-s46,essay,learning-agency-lab-automated-essay-scoring-2,46,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-25 02:30:26,2026-08-25 14:07:10,11.61,10.48,0,-1.0,12.0,1.0,False,True,17,13,4,0.765,17,1.0,0.8262681619558898,True,0,4,True,False,0,ok,,
20260825_023046_essay-base-s45,/Users/william/nautilus/results/20260825_023046_essay-base-s45,essay,learning-agency-lab-automated-essay-scoring-2,45,A,fixed,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-25 02:30:46,2026-08-25 14:13:18,11.71,10.35,0,-1.0,12.0,1.0,False,True,37,26,11,0.703,37,1.0,0.8261666150556739,True,0,4,True,False,0,ok,,
20260828_055406_lmsys-kbimp-s44,/Users/william/nautilus/results/20260828_055406_lmsys-kbimp-s44,,,,,,,,2026-08-28 05:54:06,2026-08-28 06:46:10,0.87,0.0,0,-1.0,0.87,0.072,False,,0,0,0,0.0,0,0.0,,,0,0,False,False,0,invalid,no_journal;insufficient_runtime;log_truncated;no_submission,few_valid_candidates
20260828_070507_lmsys-base-s44,/Users/william/nautilus/results/20260828_070507_lmsys-base-s44,lmsys,lmsys-chatbot-arena,44,A,fixed,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-28 07:05:07,2026-08-28 17:16:44,10.19,1.31,0,-1.0,12.0,1.0,False,False,23,21,2,0.913,23,1.0,1.0220815883646703,False,0,1,True,False,0,ok,,mostly_buggy
20260828_073849_lmsys-kb-s44,/Users/william/nautilus/results/20260828_073849_lmsys-kb-s44,lmsys,lmsys-chatbot-arena,44,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-28 07:38:49,2026-08-28 18:08:40,10.5,9.82,0,-1.0,12.0,1.0,False,False,16,14,2,0.875,16,1.0,1.0345133133567717,False,0,2,True,False,0,ok,,mostly_buggy
20260828_081718_lmsys-kbimp-s44,/Users/william/nautilus/results/20260828_081718_lmsys-kbimp-s44,lmsys,lmsys-chatbot-arena,44,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-28 08:17:18,2026-08-28 18:30:29,10.22,9.55,0,-1.0,10.22,0.852,False,False,19,15,4,0.789,19,0.737,1.0213639535250836,False,0,0,False,False,0,invalid,no_submission,
20260828_231946_essay-base-s48,/Users/william/nautilus/results/20260828_231946_essay-base-s48,essay,learning-agency-lab-automated-essay-scoring-2,48,A,fixed,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-28 23:19:46,2026-08-28 23:48:27,0.48,0.25,0,-1.0,0.48,0.04,False,,2,2,0,1.0,2,1.0,,,0,0,False,False,0,invalid,insufficient_runtime;log_truncated;no_submission,few_valid_candidates;mostly_buggy
20260828_235457_essay-kb-s48,/Users/william/nautilus/results/20260828_235457_essay-kb-s48,essay,learning-agency-lab-automated-essay-scoring-2,48,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-28 23:54:57,2026-08-29 01:36:18,1.69,1.15,0,-1.0,1.69,0.141,False,True,18,15,3,0.833,18,0.944,0.7880346722622918,True,0,0,False,False,0,invalid,insufficient_runtime;log_truncated;no_submission,
20260828_235459_essay-base-s48,/Users/william/nautilus/results/20260828_235459_essay-base-s48,essay,learning-agency-lab-automated-essay-scoring-2,48,A,fixed,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-28 23:54:59,2026-08-29 01:16:59,1.37,1.09,0,-1.0,1.37,0.114,False,True,10,8,2,0.8,10,1.0,0.779126258656649,True,0,0,False,False,0,invalid,insufficient_runtime;log_truncated;no_submission,
20260828_235507_essay-kb-s47,/Users/william/nautilus/results/20260828_235507_essay-kb-s47,essay,learning-agency-lab-automated-essay-scoring-2,47,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-28 23:55:07,2026-08-29 01:14:12,1.32,0.59,0,-1.0,1.32,0.11,False,True,10,7,3,0.7,10,1.0,0.7935431478513653,True,0,0,False,False,0,invalid,insufficient_runtime;log_truncated;no_submission,
20260828_235507_essay-kbimp-s48,/Users/william/nautilus/results/20260828_235507_essay-kbimp-s48,essay,learning-agency-lab-automated-essay-scoring-2,48,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-28 23:55:07,2026-08-29 00:48:19,0.89,0.46,0,-1.0,0.89,0.074,False,True,7,6,1,0.857,7,1.0,0.7902654867256638,True,0,0,False,False,0,invalid,insufficient_runtime;log_truncated;no_submission,few_valid_candidates;mostly_buggy
20260828_235536_essay-base-s47,/Users/william/nautilus/results/20260828_235536_essay-base-s47,essay,learning-agency-lab-automated-essay-scoring-2,47,A,fixed,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-28 23:55:36,2026-08-29 01:28:32,1.55,0.82,0,-1.0,1.55,0.129,False,True,12,8,4,0.667,12,1.0,0.7779929856500776,True,0,0,False,False,0,invalid,insufficient_runtime;log_truncated;no_submission,
20260828_235536_essay-kbimp-s47,/Users/william/nautilus/results/20260828_235536_essay-kbimp-s47,essay,learning-agency-lab-automated-essay-scoring-2,47,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-28 23:55:36,2026-08-29 00:43:58,0.81,0.45,0,-1.0,0.81,0.068,False,True,6,5,1,0.833,6,1.0,0.7941389975885986,True,0,0,False,False,0,invalid,insufficient_runtime;log_truncated;no_submission,few_valid_candidates
20260829_014412_essay-kb-s48,/Users/william/nautilus/results/20260829_014412_essay-kb-s48,essay,learning-agency-lab-automated-essay-scoring-2,48,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-29 01:44:12,2026-08-29 05:56:51,4.21,3.94,0,-1.0,4.21,0.351,False,True,18,15,3,0.833,18,1.0,0.823215643834795,True,0,0,False,False,0,invalid,insufficient_runtime;log_truncated;no_submission,
20260829_014432_essay-kbimp-s47,/Users/william/nautilus/results/20260829_014432_essay-kbimp-s47,essay,learning-agency-lab-automated-essay-scoring-2,47,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-29 01:44:33,2026-08-29 04:23:31,2.65,0.38,0,-1.0,2.65,0.221,False,,7,7,0,1.0,7,1.0,,,0,0,False,False,0,invalid,insufficient_runtime;log_truncated;no_submission,few_valid_candidates;mostly_buggy
20260829_014432_essay-kbimp-s48,/Users/william/nautilus/results/20260829_014432_essay-kbimp-s48,essay,learning-agency-lab-automated-essay-scoring-2,48,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-29 01:44:33,2026-08-29 04:23:43,2.65,0.65,0,-1.0,2.65,0.221,False,,8,8,0,1.0,8,1.0,,,0,0,False,False,0,invalid,insufficient_runtime;log_truncated;no_submission,few_valid_candidates;mostly_buggy
20260829_014433_essay-base-s47,/Users/william/nautilus/results/20260829_014433_essay-base-s47,essay,learning-agency-lab-automated-essay-scoring-2,47,A,fixed,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-29 01:44:33,2026-08-29 02:48:50,1.07,0.83,0,-1.0,1.07,0.089,False,True,12,8,4,0.667,12,1.0,0.7930771799198122,True,0,0,False,False,0,invalid,insufficient_runtime;log_truncated;no_submission,
20260829_021600_essay-base-s48,/Users/william/nautilus/results/20260829_021600_essay-base-s48,,,,,,,,2026-08-29 02:16:01,2026-08-29 02:16:51,0.01,0.0,0,-1.0,0.01,0.001,False,,0,0,0,0.0,0,0.0,,,0,0,False,False,0,invalid,no_journal;insufficient_runtime;log_truncated;no_submission,few_valid_candidates
20260829_021600_essay-kb-s47,/Users/william/nautilus/results/20260829_021600_essay-kb-s47,,,,,,,,2026-08-29 02:16:01,2026-08-29 02:16:01,0.0,0.0,0,-1.0,0.0,0.0,False,,0,0,0,0.0,0,0.0,,,0,0,False,False,0,invalid,no_journal;insufficient_runtime;log_truncated;no_submission,few_valid_candidates
20260829_084427_essay-base-s48,/Users/william/nautilus/results/20260829_084427_essay-base-s48,essay,learning-agency-lab-automated-essay-scoring-2,48,A,fixed,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-29 08:44:28,2026-08-29 19:31:06,10.78,8.94,0,-1.0,12.0,1.0,False,True,22,14,8,0.636,22,0.955,0.8175375506825209,True,0,4,True,False,0,ok,,
20260829_084428_essay-kbimp-s47,/Users/william/nautilus/results/20260829_084428_essay-kbimp-s47,essay,learning-agency-lab-automated-essay-scoring-2,47,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-29 08:44:28,2026-08-29 19:34:51,10.84,10.48,0,-1.0,12.0,1.0,False,True,26,17,9,0.654,26,1.0,0.8189417470801315,True,0,2,True,False,0,ok,,
20260829_084515_essay-kb-s47,/Users/william/nautilus/results/20260829_084515_essay-kb-s47,essay,learning-agency-lab-automated-essay-scoring-2,47,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-29 08:45:15,2026-08-29 18:40:26,9.92,7.98,0,-1.0,12.0,1.0,False,True,26,17,9,0.654,26,1.0,0.838449927635785,True,0,2,True,False,0,ok,,
20260829_084937_essay-base-s47,/Users/william/nautilus/results/20260829_084937_essay-base-s47,essay,learning-agency-lab-automated-essay-scoring-2,47,A,fixed,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-29 08:49:37,2026-08-29 19:15:14,10.43,7.45,0,-1.0,12.0,1.0,False,True,20,11,9,0.55,20,0.95,0.8452114270556212,True,0,3,True,False,0,ok,,
20260829_085640_essay-kb-s48,/Users/william/nautilus/results/20260829_085640_essay-kb-s48,essay,learning-agency-lab-automated-essay-scoring-2,48,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-29 08:56:40,2026-08-29 18:47:33,9.85,6.09,0,-1.0,12.0,1.0,False,True,12,8,4,0.667,12,1.0,0.8126362605822713,True,0,2,True,False,0,ok,,
20260829_090126_essay-kbimp-s48,/Users/william/nautilus/results/20260829_090126_essay-kbimp-s48,essay,learning-agency-lab-automated-essay-scoring-2,48,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-29 09:01:26,2026-08-29 20:54:12,11.88,11.33,0,-1.0,12.0,1.0,False,True,34,22,12,0.647,34,1.0,0.8308343085402567,True,0,2,True,False,0,ok,,
